"No.","OCUPACION","OCUPACION.NOMBRE","SALARIO"
"8155",7125,"Encargado de Mantenimiento de Edificios","714630.00"
"8156",7125,"Encargado de Mantenimiento de Edificios","547460.00"
"8157",8229,"Otros operadores de máquinas para fabricar productos químicos","573761.25"
"8158",3229,"Otros técnicos de las ciencias de la salud","467824.92"
"8159",4149,"Oficinista","835731.20"
"8160",2449,"Otros profesionales en ciencias sociales","1322568.00"
"8161",3412,"Técnicos y asistentes en recursos humanos","628350.00"
"8162",2449,"Otros profesionales en ciencias sociales","1145524.55"
"8163",2446,"Trabajadores sociales y orientadores sociales","1492283.00"
"8164",2226,"Enfermeros profesionales","2148465.44"
"8165",2211,"Biólogos, botánicos, bacteriólogos, citólogos, zoólogos, microbiólogos, genetistas, ecólogos y afines","3561184.01"
"8166",2227,"Médico Especialista","2809425.00"
"8167",2226,"Enfermeros profesionales","2578504.65"
"8168",7125,"Encargado de Mantenimiento de Edificios","520970.00"
"8169",2449,"Otros profesionales en ciencias sociales","1212621.00"
"8170",3224,"Técnicos y asistentes en farmacia","642801.80"
"8171",3122,"Técnicos y asistentes en estadística y demografía","869848.05"
"8172",2227,"Médico Especialista","3436022.46"
"8173",3417,"Secretarios ejecutivos y secretarios ejecutivos bilingües","511167.85"
"8174",3226,"Auxiliares de enfermería","663225.75"
"8175",3413,"Técnicos y asistentes en administración de empresas/negocios y en mercadeo","698030.00"
"8176",3190,"Supervisor de Producción","1034217.75"
"8177",3122,"Técnicos y asistentes en estadística y demografía","595680.00"
"8178",3229,"Otros técnicos de las ciencias de la salud","91564.75"
"8179",3226,"Auxiliares de enfermería","890631.00"
"8180",5132,"Ayudantes de enfermería","637220.00"
"8181",2227,"Médico Especialista","1064948.05"
"8182",5132,"Ayudantes de enfermería","637220.00"
"8183",3417,"Secretarios ejecutivos y secretarios ejecutivos bilingües","826969.17"
"8184",2226,"Enfermeros profesionales","2227077.40"
"8185",1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","7337175.80"
"8186",8221,"Operadores de máquinas para fabricar productos farmacéuticos y cosméticos","629995.00"
"8187",3226,"Auxiliares de enfermería","882069.25"
"8188",5132,"Ayudantes de enfermería","748338.49"
"8189",2229,"Otros profesionales en ciencias de la salud","1372746.75"
"8190",4112,"Secretarios","111182.35"
"8191",3229,"Otros técnicos de las ciencias de la salud","834377.15"
"8192",2226,"Enfermeros profesionales","1736234.15"
"8193",3224,"Técnicos y asistentes en farmacia","744540.11"
"8194",3226,"Auxiliares de enfermería","1748070.75"
"8195",8229,"Otros operadores de máquinas para fabricar productos químicos","534312.50"
"8196",1124,"Jefes de sección de instituciones públicas y empresas privadas","814040.00"
"8197",2211,"Biólogos, botánicos, bacteriólogos, citólogos, zoólogos, microbiólogos, genetistas, ecólogos y afines","1811600.20"
"8198",2211,"Biólogos, botánicos, bacteriólogos, citólogos, zoólogos, microbiólogos, genetistas, ecólogos y afines","4628203.81"
"8199",3419,"Otros técnicos en administración y en economía","1720449.00"
"8200",2227,"Médico Especialista","5572230.30"
"8201",5132,"Ayudantes de enfermería","627374.05"
"8202",2221,"Médicos generales y especialistas","438380.01"
"8203",1124,"Jefes de sección de instituciones públicas y empresas privadas","2038903.50"
